N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
188,녹십자,"115,100",800,+0.70%,"5,000","13,451","11,687",18.19,"23,703",723.90,5.03,
189,삼양식품,"177,700",700,+0.40%,"5,000","13,386","7,533",12.98,"39,256",13.77,18.92,
190,효성,"63,000",500,-0.79%,"5,000","13,275","21,071",6.56,"32,157",-120.46,0.60,
191,현대백화점,"56,700","2,400",-4.06%,"5,000","13,269","23,402",22.71,"428,766",11.57,3.20,
192,코리안리,"7,990",10,+0.13%,500,"13,213","165,368",26.09,"360,755",4.10,5.91,
193,KODEX 200선물인버스2X,"2,275",5,-0.22%,0,"13,181","579,400",0.89,"115,203,483",N/A,N/A,
194,효성티앤씨,"304,500","2,500",-0.81%,"5,000","13,178","4,328",10.20,"13,787",17.87,0.88,
195,코스맥스,"115,700","4,700",-3.90%,500,"13,131","11,350",29.62,"71,841",37.36,3.65,
196,GS건설,"15,240",330,-2.12%,"5,000","13,043","85,581",18.55,"501,767",-5.19,7.18,
197,롯데정밀화학,"49,950","1,250",-2.44%,"5,000","12,887","25,800",21.37,"85,710",5.43,6.51,
198,이수스페셜티케미컬,"228,000","25,000",-9.88%,"5,000","12,765","5,599",6.07,"518,022",N/A,N/A,
199,LX세미콘,"78,100",100,+0.13%,500,"12,702","16,264",25.83,"79,999",19.07,26.70,
200,KODEX Top5PlusTR,"21,055",210,+1.01%,0,"12,696","60,300",8.29,"16,466",N/A,N/A,
